band,parcel_idx,parcel_name,tau_mean,tau_median,tau_std,tau_count,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean
betalow,38,lh.17Networks_11-4,0.21282445082773588,0.21098716032020265,0.012831182721563895,267,0.6119300123768354,0.6132819559454924,0.012527302441926184,0.5228414071871079,0.9993493241881786,1.0
betalow,39,lh.17Networks_11-1,0.21689179642976902,0.21716766872412707,0.011847373909238672,267,0.595481038229541,0.6015124479979348,0.02957910877662144,0.4238843071495784,0.9994450412964613,1.0
betalow,40,lh.17Networks_3-2,0.2246377743747929,0.22366879034358583,0.011973164768963956,267,0.6024722598498986,0.610081869969371,0.037633821816088014,-1.0038680307198036,0.9996447446796254,1.0
betalow,41,lh.17Networks_8-6,0.21057459319339164,0.2101554975388522,0.014128234757460325,267,0.617871985944206,0.6187267320839342,0.011112466591533223,0.6122438864889789,0.9993856343583652,1.0
betalow,42,lh.17Networks_8-10,0.212749460234991,0.21191844439719418,0.01316691093051976,267,0.6167492791085659,0.6188830336445916,0.018449535000399996,0.5380718212002146,0.999464240540374,1.0
betalow,43,lh.17Networks_8-8,0.21504865620663507,0.21474243977058255,0.011037691658853576,267,0.6048448881094797,0.6059616440729558,0.02187550200959303,0.5433218508493699,0.999452066203673,1.0
betalow,44,lh.17Networks_8-4,0.20729594173393343,0.2052742025228302,0.014118379082106,267,0.6187683779485386,0.6210954259298447,0.011647059081018318,0.7305244247944542,0.999324331267032,1.0
betalow,45,lh.17Networks_8-5,0.20733289948861375,0.20944572456265173,0.01464747555547286,267,0.6218040044224608,0.6234335891087559,0.011782999624952111,0.7489554463025513,0.9993681029826309,1.0
betalow,46,lh.17Networks_8-9,0.2007140229052502,0.19926331568010924,0.01458552772970254,267,0.6216090689457452,0.6230168405099199,0.010915983450801367,0.8425396154639133,0.999150913407865,1.0
betalow,47,lh.17Networks_7-4,0.21959627237663615,0.21825660783963313,0.01242039677858079,267,0.61174240008839,0.6133071486876073,0.018246111402911557,-0.07179131033988131,0.9995409400333932,1.0
betalow,48,lh.17Networks_7-8,0.21549501463111842,0.2143416633359389,0.013171473996407985,267,0.6115470135945308,0.6172478934486122,0.032495329293857685,0.3170600653245391,0.9994841116666199,1.0
betalow,49,lh.17Networks_7-6,0.21557875649487712,0.21422889955070742,0.011655462270547225,267,0.6049112445994306,0.606655073928284,0.022299823346874522,0.4265207315059333,0.999436830279652,1.0
betalow,50,lh.17Networks_7-1,0.2093813020804549,0.20813288826381554,0.013865916400804989,267,0.6152494184895715,0.6169447918378419,0.011412254389337843,0.6321818306160899,0.999338915079392,1.0
betalow,51,lh.17Networks_14-3,0.21174847000521685,0.21114336502493922,0.012939206858609493,267,0.6174842402207443,0.6196335669211808,0.018297229758668702,0.6037431747299995,0.9994202391272435,1.0
betalow,52,lh.17Networks_14-2,0.21466960054458387,0.2128475244894324,0.011760727921435407,267,0.604113982420823,0.6055247719392379,0.017007363994606024,0.53924122753905,0.9994383984182551,1.0
betalow,53,rh.17Networks_2-2,0.21603828852523857,0.21703524113478867,0.01095285105471387,267,0.5883833197293317,0.5981252472034816,0.03562283926977064,0.6063020723542812,0.9994595927654109,1.0
betalow,54,rh.17Networks_16-4,0.21423082316129619,0.2139436890041361,0.011678629853527172,267,0.5967457985806264,0.6046170292395932,0.030708404493616753,0.5994620250590237,0.9993663112509162,1.0
betalow,55,rh.17Networks_16-2,0.2049646790951121,0.20513697641239867,0.015016272809761559,267,0.6212112007268186,0.6228651418086788,0.010642014974788871,0.7706933871935866,0.9992611829974751,1.0
betalow,56,rh.17Networks_16-6,0.21292379932734035,0.21279452762497186,0.010228204914909387,267,0.6043991631640615,0.6049013784796415,0.0157747343356848,0.75326120467943,0.9994740124184801,1.0
betalow,57,rh.17Networks_16-10,0.19982997764771482,0.19964131019272802,0.013296788554893899,267,0.6224752373719963,0.6238606596544345,0.010624369133367841,0.8868135675131489,0.9991474558141094,1.0
betalow,58,rh.17Networks_16-9,0.20457499766119996,0.2030573993666061,0.012478526144545895,267,0.6124824207924414,0.6125254010492015,0.011498662417522145,0.8280405516289818,0.999194876260476,1.0
betalow,59,rh.17Networks_16-8,0.20831052267077546,0.20970805968312484,0.013708389161223281,267,0.620682668207669,0.6221483669457838,0.011982849278554164,0.7616357522445559,0.999403176598135,1.0
betalow,60,rh.FreeSurfer_Defined_Medial_Wall-2,0.2059027322732543,0.204106460357106,0.012497242102666317,267,0.612404258226673,0.6138770074546892,0.012070916386971685,0.805896486848145,0.9991993766465317,1.0
