parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
206,7Networks_RH_Cont_PFCl_13-rh,rh,0.010751640328964529,0.6002902446695729,0.8566182270738845,0.9999018495773856,41.15386166593954,7.346591785082368,46.490649022329016,-0.00432667687874198,0.0010128366581023673
207,7Networks_RH_Cont_PFCl_14-rh,rh,0.011534690660990258,0.6011268293918509,0.8543990736269486,0.9999038026247098,34.31315690797992,15.67370102179082,52.58439444992347,-0.0036105797929305034,0.002358933845051814
208,7Networks_RH_Cont_PFCl_15-rh,rh,0.01326259007565973,0.5993264098484814,0.8671633644545899,0.9999174870427531,24.59286099607608,8.304191625305194,53.71093755982034,-0.0011086544758866172,0.0007736464895707895
209,7Networks_RH_Cont_PFCl_2-rh,rh,0.019975217997865044,0.6044511548516062,0.6213544435622682,0.9998923524420773,42.60892465688887,48.0329504918008,-4.145084624362253,-0.0020676380680516235,-0.0012524685045458561
210,7Networks_RH_Cont_PFCl_3-rh,rh,0.0201470937839833,0.6033550853153307,0.6842139156999656,0.9999056630432678,28.33977524577109,54.3951634851541,3.541195894611669,-0.001591340240351024,-0.0016571606904867142
211,7Networks_RH_Cont_PFCl_4-rh,rh,0.013542418632820007,0.6072022412901412,0.7503029655932765,0.9998823749078704,46.33146818115681,36.46545952373275,5.405926232268758,-0.006948057452763329,0.0027973529726273982
212,7Networks_RH_Cont_PFCl_5-rh,rh,0.01247042993738355,0.604599847816193,0.7986167309247083,0.9998957742435951,40.67638054440802,42.033907573830334,15.31384148960471,-0.00760311467289791,0.0011887856738440616
213,7Networks_RH_Cont_PFCl_6-rh,rh,0.011087218088824355,0.6042887633111722,0.820027565579271,0.9998887892542992,45.62040812973369,29.41268179928445,16.996940627772148,-0.007974135210930636,0.0013131326930096998
214,7Networks_RH_Cont_PFCl_7-rh,rh,0.011419581878436828,0.6029445927062487,0.8078741842725932,0.9998914148095338,43.166955864244,18.62472132071748,22.83558898127231,-0.006348319963041631,0.0008080741445487538
215,7Networks_RH_Cont_PFCl_8-rh,rh,0.014743550186122908,0.602599015935734,0.8131548577774326,0.9999045042125094,26.06461976441824,48.84746140173559,23.25081079274561,-0.005035685135831214,-0.00010190648167440752
