parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z,alpha_rel,beta_rel,gamma_rel,spectral_slope
117,7Networks_LH_SalVentAttn_FrOperIns_8-lh,lh,SalVentAttn,0.0100383637129885,0.0084541695902895,0.0073940203765066,0.6055187010551716,0.6054249519164081,0.0086174568854238,0.8311218763304424,0.9998834255178614,1.0,1.0,208,-51.096116187164135,0.163706507318967,3.985929608473668,0.13911874950795966,0.3825628800507877,0.19797971057268224,0.3017659034947814
118,7Networks_LH_SalVentAttn_FrOperIns_9-lh,lh,SalVentAttn,0.0096375673483038,0.0077415909793119,0.0083355837578259,0.6056609309752183,0.6055475877833857,0.0083950126703804,0.8398575806960445,0.99988115849185,1.0,1.0,208,-51.86575559607135,8.562580772968525,12.651200385378376,0.13568712788684753,0.3903579681798732,0.2032882547693421,0.26864659787971745
119,7Networks_LH_SalVentAttn_Med_1-lh,lh,SalVentAttn,0.0172038244527059,0.0162065267302932,0.0077892829017039,0.597568181566004,0.596835378452985,0.0089925923834393,0.867045257563422,0.999923436396468,1.0,1.0,208,-7.622988210197239,19.573154094349984,32.80045354014207,0.14046847321110248,0.32723952596893263,0.12220916293147184,0.6167732588137107
120,7Networks_LH_SalVentAttn_Med_2-lh,lh,SalVentAttn,0.0165114643347833,0.0155593634840994,0.0075499191399736,0.5971115937934072,0.5946486907629749,0.0148041646267439,0.8796256134009971,0.999930847934184,1.0,1.0,208,-6.89563837940768,0.8559452925412733,41.32250199355478,0.16194752941200685,0.3147933436349348,0.10656691458281659,0.6742793149518049
121,7Networks_LH_SalVentAttn_Med_3-lh,lh,SalVentAttn,0.0105387554105858,0.0093143446395981,0.0071976571802511,0.6005186037090542,0.6002300823199181,0.0088135411840194,0.8344425978125846,0.9998951356003274,1.0,1.0,208,-12.766133691386171,-24.88988610920153,41.19620874906841,0.17357593390950082,0.3670292813126405,0.1712203860000877,0.3749900141389987
122,7Networks_LH_SalVentAttn_Med_4-lh,lh,SalVentAttn,0.0162191834494026,0.0149705424397486,0.0086450000790363,0.5997818283993653,0.5967046873436948,0.0145091821869605,0.8734216937066857,0.9999245905841688,1.0,1.0,208,-7.273161498623826,8.181929967880901,46.825313479857456,0.14584281156419865,0.32048298555288296,0.12058582503087298,0.6396798533844954
123,7Networks_LH_SalVentAttn_Med_5-lh,lh,SalVentAttn,0.0150867666924849,0.014185273824777,0.0072573435750543,0.595995590698974,0.5965518250935629,0.0068164481413733,0.7546131885341179,0.9999115721331344,1.0,1.0,208,-14.46428824674244,-39.05645511824771,45.86814254720214,0.23590529110766592,0.3344201757528475,0.13469722992112282,0.4892574550720836
124,7Networks_LH_SalVentAttn_Med_6-lh,lh,SalVentAttn,0.0151368748836879,0.0142085335714594,0.0076078814602534,0.5970512396021251,0.5964141895849164,0.0116820428118787,0.7456029518988003,0.9999221943619236,1.0,1.0,208,-7.996972425284158,-47.905287310632026,56.66460163651948,0.24814255343490466,0.3343993185339245,0.1169840440593266,0.5293229304893152
125,7Networks_LH_SalVentAttn_Med_7-lh,lh,SalVentAttn,0.0104092903625478,0.0088694566319058,0.0076736259402631,0.5993212237634719,0.599904059526762,0.0080386427967866,0.8525897834327986,0.9998972662859792,1.0,1.0,208,-9.581735411692527,-4.7751348625948085,68.61623965108336,0.149561345390975,0.3601583455391201,0.17118772139250701,0.42169190900516473
126,7Networks_LH_SalVentAttn_PFCl_1-lh,lh,SalVentAttn,0.0125080930385981,0.0107280977624134,0.0091226266876446,0.6029766500038418,0.6037881779025777,0.0056819970415278,0.8163083240466992,0.9998969138838162,1.0,1.0,208,-30.43239820530984,39.53049867765039,25.725265998755937,0.13856149162716194,0.37092649910528763,0.17387016818964407,0.37002038524790726
127,7Networks_LH_SalVentAttn_ParOper_1-lh,lh,SalVentAttn,0.011195924840024,0.009943811937689,0.0078938975075895,0.6008476426213929,0.6016146144017125,0.0070310206230218,0.8361914293158754,0.999896496983878,1.0,1.0,208,-53.007303389158544,-35.49347277359816,21.68828773603565,0.17383396499168913,0.36104551733731,0.17039987550569613,0.40360915228820615
128,7Networks_LH_SalVentAttn_ParOper_2-lh,lh,SalVentAttn,0.0092689792897402,0.0071866490995777,0.0084351242523214,0.6030240120667618,0.603990200473873,0.0067464090959858,0.8601278636445687,0.999886791646528,1.0,1.0,208,-57.54926100154381,-45.50295204227253,25.69512326030408,0.15833700765097686,0.3811233790535635,0.1923085667018575,0.305002094571752
129,7Networks_LH_SalVentAttn_ParOper_3-lh,lh,SalVentAttn,0.0077722883347705,0.0061388909450248,0.0079703371348469,0.6045927899721846,0.6055736560197054,0.0063070150928268,0.8782689807629798,0.9998818197606488,1.0,1.0,208,-59.68074720102058,-24.800348331803395,30.209649454625765,0.15031335347265443,0.3963871721840265,0.20228687595860217,0.24669662254466942
130,7Networks_LH_SalVentAttn_ParOper_4-lh,lh,SalVentAttn,0.0084689207291738,0.0062720135546026,0.0094144004157518,0.6040961196258084,0.6051685648589252,0.0063397124966058,0.8713085248639982,0.9998829073418264,1.0,1.0,208,-60.27880584389154,-37.42226658276985,34.42161412911912,0.1512894155837069,0.3924783753165527,0.19938813778115136,0.26309240995020067
131,7Networks_LH_SalVentAttn_TempOcc_1-lh,lh,SalVentAttn,0.0076737763004648,0.0060250503228359,0.0071939597402371,0.6045523323663665,0.6054674272889744,0.0075618069775528,0.8781933898858186,0.9998796129008516,1.0,1.0,208,-53.62599159361529,-54.918923530160434,7.941994568516798,0.1515533206811486,0.3962885124856269,0.21006798606838684,0.22983844161557138
132,7Networks_LH_SomMot_1-lh,lh,SomMot,0.0132075694580817,0.0120073742361914,0.0078745566863312,0.6042152371031863,0.6026395551164745,0.0125692765794504,0.7834769094878026,0.9998924050367044,1.0,1.0,208,-49.10716878647772,-13.393378912210798,0.4076897875755875,0.14968832625636433,0.3537495839089473,0.17552073294162174,0.4243944661069478
133,7Networks_LH_SomMot_10-lh,lh,SomMot,0.0106277940206517,0.0090973326322264,0.0077273520666334,0.6019493683990015,0.6022260717122806,0.0089362938603858,0.8363155203091974,0.9998934905595204,1.0,1.0,208,-48.60821804058589,-25.19058727096988,17.03619863844964,0.17070043273290259,0.36252901950614286,0.17311430593827073,0.39088086470143474
