parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z
180,7Networks_LH_Vis_2-lh,lh,Vis,0.017634048054548854,0.0141227564667309,0.011051919305039938,0.6082718999844214,0.606260815221958,0.012937158914720387,0.6616145262725175,0.9998871239296823,1.0,1.0,208,-31.40945883181384,-35.14854264301093,-18.22494495228168
181,7Networks_LH_Vis_20-lh,lh,Vis,0.011800900488694822,0.010238651304848849,0.007187014737537504,0.6043381310369769,0.6040429223342481,0.009161947349363648,0.7757144333910282,0.9998871456522637,1.0,1.0,208,-13.2440716159587,-51.69824464759048,2.876118942084057
182,7Networks_LH_Vis_21-lh,lh,Vis,0.014127780677525828,0.0123801527173504,0.006587134632531747,0.5982649734265152,0.5985269839280887,0.008556822579547589,0.7107331056211696,0.9999073573406727,1.0,1.0,208,-9.856477479710986,-75.67654549863917,7.829021696911358
183,7Networks_LH_Vis_22-lh,lh,Vis,0.014640608254844926,0.01332850447917705,0.006746380990782869,0.599082330480832,0.5996034629696732,0.007069493898481654,0.7465999326415159,0.9999037991504705,1.0,1.0,208,-21.03412999840422,-66.21519638146768,5.735785520143349
184,7Networks_LH_Vis_23-lh,lh,Vis,0.0072733780814526385,0.0055854711217414,0.00675332849683392,0.6036507215323889,0.6051353848515693,0.008462766198288679,0.879217020752431,0.9998800326613202,1.0,1.0,208,-38.88945099783496,-83.35966367350517,10.044632151487876
185,7Networks_LH_Vis_24-lh,lh,Vis,0.01090113072699166,0.0088338357689142,0.0076862993874949395,0.5986772591360986,0.5992709487885945,0.007526641793607712,0.7814824573649355,0.9998992431549194,1.0,1.0,208,-14.192239268374,-97.16284925567436,15.415261314818578
186,7Networks_LH_Vis_25-lh,lh,Vis,0.013935641097841197,0.0119770903247519,0.007995738097666658,0.5965788139903061,0.5967126320608747,0.009710292926842484,0.6674784702557427,0.9999133274508304,1.0,1.0,208,-3.968079407498219,-84.70897804445805,23.46371066894313
187,7Networks_LH_Vis_26-lh,lh,Vis,0.01730660842369267,0.01586402026759505,0.006693463144638535,0.5945926493274023,0.5943511314127515,0.007930332688116867,0.5864570190655743,0.9999229141536492,1.0,1.0,208,-13.974083823852643,-70.9343149771445,19.449905606403803
188,7Networks_LH_Vis_27-lh,lh,Vis,0.010618208089064439,0.00899597852457925,0.006842160819544943,0.5992134427334803,0.6002757299122803,0.009064062986848333,0.8033475319379468,0.9999006696293655,1.0,1.0,208,-27.42744734250926,-83.66948806387039,16.621921721544524
189,7Networks_LH_Vis_28-lh,lh,Vis,0.00978185078325197,0.00800245294966465,0.006765992653694868,0.6005782477934272,0.6010908305960421,0.00885325014380239,0.8259388263167984,0.9998939856049126,1.0,1.0,208,-33.7867070651843,-82.53938262395883,23.04350547693461
190,7Networks_LH_Vis_29-lh,lh,Vis,0.012419223729219017,0.01081946804635225,0.00788170040397029,0.5979806514029965,0.5981932878386488,0.009360116544139211,0.743066028765684,0.9999057508013464,1.0,1.0,208,-16.95356636250939,-88.38620781859349,28.612489427839005
